藥品名稱,位置代號
旋覆代赭石湯,A01
龍膽瀉肝湯,A01
當歸飲子,A01
響聲破笛丸,A01
竹葉石膏湯,A01
清肺湯,A01
桂枝茯苓丸,A01
黃連解毒湯,A01
四物湯,A01
真人活命飲,A01
當歸六黃湯,A02
吳茱萸湯,A02
柴胡疏肝湯,A02
濟生腎氣丸,A02
葛根黃連黃苓湯,A02
少腹逐瘀湯,A02
補中益氣湯,A02
越婢加朮湯,A02
小陷胸湯,A03
當歸芍藥散,A03
六味地黃丸,A03
定喘湯,A03
補陽還五湯,A03
一貫煎,A03
天麻鉤藤飲,A03
葛根湯,A04
生薑瀉心湯,A04
蠲痹湯,A04
普濟消毒飲,A04
柴胡桂枝乾薑湯,A04
荊防敗毒湯,A04
胃苓湯,A04
小柴胡湯,A04
二朮湯,A04
加味逍遙散,A05
溫經湯,A05
過期飲,A05
苓桂朮甘湯,A05
麻子仁丸,A05
羌活,B01
生薑瀉心湯,B01
化石草,B01
骨碎補,B01
後朴,B01
旱連草,B01
天麻鉤藤飲,B01
石斛,B01
山藥,B01
川芎,B01
番瀉葉,B01
益母草,B01
木瓜,B01
紅景天,B01
旋覆花,B01
桂枝茯苓丸,B01
合歡皮,B02
檳榔,B02
升麻,B02
山楂,B02
倉朮,B02
雞血藤,B02
桔梗,B02
莪朮,B02
三稜,B02
神麴,B02
大(紅)棗,B02
鬱金,B03
蒲黃,B03
女貞子,B03
炙甘草,B03
巴戟天,B03
百合,B03
佩蘭,B03
葛根,B03
黨參,B03
槴子,B03
川棟子,B03
獨活,B03
柴胡,B03
黃苓,B03
蒼耳子,B04
陳皮,B04
麥門冬,B04
砂仁,B04
沒藥,B04
木香,B04
茯苓,B04
益智仁,B04
懷牛膝,B04
紫苑,B04
枇杷葉,B04
清暑益氣湯,B05
人參養榮湯,B05
桂枝加龍骨牡蠣湯,B05
茵陳蒿湯,B05
金沸草散,B05
真武湯,B05
涼膈散,B05
麻子仁丸,B06
木香檳榔丸,B06
逍遙散,B06
安中散,B06
半夏瀉心湯,B06
杞菊地黃丸,B06
平胃散,B06
朱苓湯,C01
三黃石膏湯,C01
四逆湯,C01
完帶湯,C01
四逆散,C01
白虎湯,C01
上中下通用痛風丸,C01
當歸拈痛湯,C01
大建中湯,C01
麻杏薏甘湯,C01
神秘湯,C01
瓜蔞枳實湯,C01
四君子湯,C01
薏苡仁湯,C01
滋腎名目湯,C01
芎歸膠艾湯,C01
甘麥大棗湯,C01
麻黃湯,C01
清胃散,C01
酸棗仁湯,C01
槐花散,C02
還少丹,C02
柴葛解肌湯,C02
清心蓮子飲,C02
玉屏風散,C02
桃紅四物湯,C02
寧嗽丸,C02
散腫潰堅湯,C02
甘露飲,C02
桑菊飲,C02
溫清飲,C02
辛夷,C02
枳實,C02
蒲黃炭,C02
地榆炭,C02
半夏天麻白朮湯,C03
清上蠲痛湯,C03
厚朴溫中湯,C03
乙字湯,C03
八正散,C03
苓甘薑味辛夏仁湯,C03
溫膽湯,C03
香砂六君子湯,C03
羌活勝濕湯,C03
十神湯,C03
藿香正氣散,C03
蒼耳散,C03
柴胡桂枝湯,C03
桂枝芍藥知母湯,C03
歸脾湯,C03
天王補心丹,C04
參苓白朮散,C04
小建中湯,C04
止嗽散,C04
清上防風湯,C04
身痛逐瘀湯,C04
當歸四逆湯,C04
生脈散,C04
大黃牡丹皮湯,C04
炙甘草湯,C04
洗肝明目湯,C04
保和丸,C04
麥門冬湯,C04
芎歸膠艾湯,C04
辛夷清肺湯,C04
聖愈湯,C04
半夏天麻白朮湯,C05
復元活血湯,C05
銀翹散,C05
甘露消毒丹,C05
正骨紫金丹,C05
導赤散,C05
清胃散,C05
女科柏子仁,C05
五味消毒飲,C05
左歸丸,C05
右歸丸,C05
百合固金湯,C05
二陳湯,C05
疏經活血湯,C05
八珍湯,C05
消風散,C05
川芎茶調散,C05
桂枝湯,C05
杏蘇散,C05
黃耆五物湯,C05
華蓋散,C05
柴胡加龍骨牡蠣湯,C前
黃精,C前
夜交藤,C前
炮附子,C前
當歸,C前
黃耆,C前
澤瀉,C前
五味子,C前
乾薑,C前
